pregunta,respuesta_a,respuesta_b,respuesta_c,respuesta_d,respuesta_correcta
¿Cuál es el río más largo del mundo?,Nilo,Amazonas,Yangtsé,Misisipi,Amazonas
¿En qué año llegó el ser humano a la Luna?,1965,1969,1971,1975,1969
¿Quién pintó la Mona Lisa?,Miguel Ángel,Rafael,Leonardo da Vinci,Donatello,Leonardo da Vinci
¿Cuál es el planeta más grande del sistema solar?,Saturno,Júpiter,Neptuno,Urano,Júpiter
¿Cuál es el idioma más hablado del mundo por número de hablantes nativos?,Inglés,Español,Chino mandarín,Hindú,Chino mandarín
¿Cuál es el país con mayor población del mundo?,India,Estados Unidos,China,Rusia,India
¿Qué elemento químico tiene el símbolo O?,Oro,Osmio,Oxígeno,Plata,Oxígeno
¿En qué continente se encuentra Egipto?,Europa,Asia,África,América,África
¿Cuál es la capital de Australia?,Sídney,Melbourne,Canberra,Brisbane,Canberra
¿Quién escribió 'Cien años de soledad'?,Mario Vargas Llosa,Julio Cortázar,Gabriel García Márquez,Pablo Neruda,Gabriel García Márquez
